Row Labels,Sum of Total Exports Value ($US),,,
2021 through July,21722766440,,,
Washington,2.30E+12,,,
2002,69481033410,,,
2003,70801797882,,,
2004,59219161868,,,
2005,66156353784,,,
2006,84781206370,,,
2007,1.04E+11,,,
2008,1.09E+11,,,
2009,1.04E+11,,,
2010,1.07E+11,,,
2011,1.30E+11,,,
2012,1.51E+11,,,
2013,1.63E+11,,,
2014,1.81E+11,,,
2015,1.73E+11,,,
2016,1.59E+11,,,
2017,1.53E+11,,,
2018,1.56E+11,,,
2019,1.21E+11,,,
2020,82280424792,,,
2021 through July,56768533018,,,
West Virginia,2.24E+11,,,
2002,4492916158,,,
2003,4769022502,,,
2004,6507137706,,,
2005,6322343066,,,
2006,6480118318,,,
2007,7974041564,,,
2008,11286974982,,,
2009,9651140414,,,
2010,12886061780,,,
2011,18078343902,,,
2012,22814304106,,,
2013,17463441576,,,
2014,15194022126,,,
2015,11665473932,,,
2016,10090777742,,,
2017,14220630462,,,
2018,16465096290,,,
2019,11897550686,,,
2020,9130286288,,,
2021 through July,7018890676,,,
Wisconsin,7.58E+11,,,
2002,21356892710,,,
2003,23029533514,,,
2004,25410788256,,,
2005,29922820172,,,
2006,34347256924,,,
2007,37650978354,,,
2008,41139243442,,,
2009,33449993760,,,
2010,39600495390,,,
2011,44137768868,,,
2012,46237990266,,,
2013,46220935726,,,
2014,46851141798,,,
2015,44883939040,,,
2016,42072734618,,,
2017,44610738352,,,
2018,45432764070,,,
2019,43334590858,,,
2020,40999166322,,,
2021 through July,27239824370,,,
Wyoming,42006674752,,,
2002,1106995790,,,
2003,1162729030,,,
2004,1361704020,,,
2005,1341225784,,,
2006,1668269432,,,
2007,1604341830,,,
2008,2162028188,,,
2009,1852283178,,,
2010,1966608786,,,
2011,2437428536,,,
2012,2878388292,,,
2013,2701238710,,,
2014,3514525754,,,
2015,2349988318,,,
2016,2197304748,,,
2017,2392767904,,,
2018,2713970774,,,
2019,2734336978,,,
2020,2327593004,,,
2021 through July,1532945696,,,
Grand Total,4.91E+13,,,
